[20260731.013316.210-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=70,n=1,mode=s,dt=57244,acq=56936,wak=27,mrq=6,drq=20,upd=1034,enu=28,rem=28,dmg=23,snd=46,tot=1201,dr=2,mr=0,mrmax=0,area=562422,win=1,iwn=3,wev=3,sends=2,skip=0,log=43
[20260731.013316.234-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=71,n=1,mode=s,dt=19059,acq=17710,wak=27,mrq=9,drq=22,upd=244,enu=14,rem=12,dmg=20,snd=41,tot=363,dr=1,mr=0,mrmax=0,area=545967,win=1,iwn=1,wev=1,sends=2,skip=0,log=75
[20260731.013316.299-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=72,n=1,mode=s,dt=65482,acq=65161,wak=18,mrq=5,drq=18,upd=4108,enu=26,rem=41,dmg=27,snd=46,tot=4277,dr=3,mr=0,mrmax=0,area=576736,win=1,iwn=4,wev=4,sends=4,skip=0,log=74
[20260731.013316.309-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=73,n=1,mode=s,dt=9823,acq=9379,wak=19,mrq=9,drq=73,upd=789,enu=8,rem=8,dmg=8,snd=20,tot=848,dr=1,mr=0,mrmax=0,area=547104,win=1,iwn=1,wev=1,sends=2,skip=0,log=51
[20260731.013316.355-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=74,n=1,mode=s,dt=46197,acq=45941,wak=29,mrq=10,drq=27,upd=1234,enu=21,rem=22,dmg=16,snd=42,tot=1354,dr=3,mr=0,mrmax=0,area=568514,win=1,iwn=3,wev=3,sends=4,skip=0,log=51
[20260731.013316.388-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=75,n=1,mode=s,dt=32514,acq=32032,wak=39,mrq=13,drq=29,upd=1721,enu=21,rem=21,dmg=30,snd=53,tot=1880,dr=3,mr=0,mrmax=0,area=558144,win=1,iwn=2,wev=2,sends=4,skip=0,log=235
[20260731.013316.420-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=76,n=1,mode=s,dt=31769,acq=31230,wak=107,mrq=16,drq=122,upd=3536,enu=13,rem=15,dmg=32,snd=68,tot=3732,dr=1,mr=0,mrmax=0,area=547398,win=1,iwn=1,wev=1,sends=2,skip=0,log=70
[20260731.013316.469-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=77,n=1,mode=s,dt=49188,acq=48605,wak=30,mrq=22,drq=52,upd=4672,enu=29,rem=27,dmg=33,snd=101,tot=4904,dr=3,mr=0,mrmax=0,area=569579,win=1,iwn=4,wev=4,sends=6,skip=0,log=87
[20260731.013316.487-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=78,n=1,mode=s,dt=18020,acq=16951,wak=41,mrq=47,drq=177,upd=17,enu=15,rem=32,dmg=53,snd=143,tot=412,dr=1,mr=0,mrmax=0,area=546376,win=1,iwn=0,wev=0,sends=2,skip=0,log=74
[20260731.013316.514-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=79,n=1,mode=s,dt=26756,acq=26039,wak=40,mrq=12,drq=26,upd=4781,enu=16,rem=99,dmg=18,snd=40,tot=4984,dr=1,mr=0,mrmax=0,area=557326,win=1,iwn=2,wev=2,sends=2,skip=0,log=145
[20260731.013316.564-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=80,n=1,mode=s,dt=49830,acq=49366,wak=26,mrq=9,drq=27,upd=3867,enu=26,rem=78,dmg=41,snd=132,tot=4184,dr=3,mr=0,mrmax=0,area=556010,win=1,iwn=3,wev=3,sends=4,skip=0,log=92
[20260731.013316.580-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=81,n=1,mode=s,dt=15935,acq=14805,wak=22,mrq=12,drq=26,upd=431,enu=10,rem=10,dmg=17,snd=40,tot=540,dr=1,mr=0,mrmax=0,area=555900,win=1,iwn=1,wev=1,sends=2,skip=0,log=693
[20260731.013316.595-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=82,n=1,mode=s,dt=15556,acq=13947,wak=19,mrq=8,drq=23,upd=378,enu=10,rem=10,dmg=19,snd=34,tot=483,dr=1,mr=0,mrmax=0,area=545160,win=1,iwn=1,wev=1,sends=2,skip=0,log=291
[20260731.013316.613-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=83,n=1,mode=s,dt=17801,acq=7017,wak=1902,mrq=12,drq=26,upd=958,enu=12,rem=13,dmg=14,snd=39,tot=1064,dr=1,mr=0,mrmax=0,area=544320,win=1,iwn=1,wev=1,sends=2,skip=0,log=8597
[20260731.013316.630-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=84,n=1,mode=s,dt=17458,acq=17028,wak=78,mrq=30,drq=34,upd=1094,enu=17,rem=19,dmg=33,snd=58,tot=1275,dr=1,mr=0,mrmax=0,area=544320,win=1,iwn=1,wev=1,sends=2,skip=0,log=48
[20260731.013316.644-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=85,n=1,mode=s,dt=13736,acq=13274,wak=34,mrq=6,drq=24,upd=384,enu=11,rem=14,dmg=23,snd=46,tot=524,dr=1,mr=0,mrmax=0,area=544127,win=1,iwn=1,wev=1,sends=2,skip=0,log=104
[20260731.013316.664-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=86,n=1,mode=s,dt=19583,acq=19136,wak=96,mrq=13,drq=34,upd=1296,enu=133,rem=14,dmg=62,snd=54,tot=1628,dr=1,mr=0,mrmax=0,area=543480,win=1,iwn=1,wev=1,sends=2,skip=0,log=65
[20260731.013316.675-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=87,n=1,mode=s,dt=11809,acq=10696,wak=35,mrq=14,drq=43,upd=799,enu=14,rem=14,dmg=22,snd=52,tot=941,dr=1,mr=0,mrmax=0,area=543480,win=1,iwn=1,wev=1,sends=2,skip=0,log=117
